id	amp	ch	chan_group	depth	fr	group	n_spikes	sh
0	27789332.00000000	0	0	270.00000000	2.79608170	noise	4092	0
1	126779312.00000000	0	0	270.00000000	0.44346457	mua	649	0
2	67982728.00000000	0	0	270.00000000	3.16574939	noise	4633	0
3	26259108.00000000	1	0	90.00000000	4.91979184	noise	7200	0
4	111681432.00000000	1	0	90.00000000	2.18862407	mua	3203	0
5	41810380.00000000	2	0	247.50000000	8.53447224	noise	12490	0
6	181884768.00000000	3	0	495.00000000	5.11931673	good	7492	0
7	61905904.00000000	3	0	495.00000000	2.70383560	noise	3957	0
8	71299680.00000000	4	0	225.00000000	3.18556522	noise	4662	0
9	29758694.00000000	4	0	225.00000000	1.89138664	noise	2768	0
10	35253776.00000000	4	0	225.00000000	2.69495264	noise	3944	0
11	137343616.00000000	4	0	225.00000000	0.51384493	good	752	0
12	25905714.00000000	5	0	45.00000000	7.19587887	noise	10531	0
13	251286688.00000000	10	0	405.00000000	2.87124518	good	4202	0
14	265873056.00000000	6	0	360.00000000	4.47496066	good	6549	0
15	44785840.00000000	6	0	360.00000000	2.64028829	noise	3864	0
16	34117728.00000000	7	0	540.00000000	1.77385828	noise	2596	0
17	94531152.00000000	7	0	540.00000000	1.94468439	noise	2846	0
18	165823104.00000000	7	0	540.00000000	5.74249037	mua	8404	0
19	48311860.00000000	8	0	180.00000000	5.99462970	noise	8773	0
21	34115468.00000000	9	0	585.00000000	2.23167224	noise	3266	0
22	63649552.00000000	10	0	405.00000000	4.67926869	noise	6848	0
23	264076096.00000000	6	0	360.00000000	1.29486188	good	1895	0
24	29850172.00000000	11	0	0.00000000	9.01825177	noise	13198	0
25	115895504.00000000	12	0	135.00000000	2.81863074	good	4125	0
26	27732208.00000000	12	0	135.00000000	2.98604033	noise	4370	0
27	82645464.00000000	13	0	630.00000000	7.07766721	noise	10358	0
28	33752352.00000000	13	0	630.00000000	2.71613508	noise	3975	0
29	258721632.00000000	14	0	450.00000000	2.54599228	good	3726	0
30	63817172.00000000	14	0	450.00000000	6.54400645	noise	9577	0
31	38958768.00000000	15	0	742.50000000	11.05449895	noise	16178	0
32	174067424.00000000	16	0	967.50000000	2.36286669	good	3458	0
33	41949624.00000000	16	0	967.50000000	3.57299883	noise	5229	0
34	37466436.00000000	16	0	967.50000000	2.86987857	noise	4200	0
35	106695048.00000000	24	0	922.50000000	0.95389297	mua	1396	0
36	183857344.00000000	16	0	967.50000000	1.46090486	good	2138	0
37	36728636.00000000	17	0	675.00000000	7.47398377	noise	10938	0
38	161668624.00000000	17	0	675.00000000	0.09566262	good	140	0
39	39920524.00000000	18	0	810.00000000	10.51058863	noise	15382	0
40	229391168.00000000	18	0	810.00000000	0.14144402	good	207	0
41	28670280.00000000	19	0	1057.50000000	7.39062063	noise	10816	0
42	64518492.00000000	19	0	1057.50000000	1.63719740	noise	2396	0
43	159334880.00000000	19	0	1057.50000000	0.42843187	mua	627	0
44	220190848.00000000	19	0	1057.50000000	0.22959029	good	336	0
45	134439872.00000000	19	0	1057.50000000	1.14385160	mua	1674	0
46	236626320.00000000	20	0	945.00000000	1.12950221	good	1653	0
47	286647520.00000000	20	0	945.00000000	1.70142801	good	2490	0
48	37126460.00000000	20	0	945.00000000	8.36364613	noise	12240	0
49	33824576.00000000	21	0	720.00000000	5.75342324	noise	8420	0
50	158727216.00000000	21	0	720.00000000	2.17495798	mua	3183	0
51	77870352.00000000	22	0	832.50000000	14.79149083	noise	21647	0
52	106605120.00000000	22	0	832.50000000	2.75235021	noise	4028	0
53	40491400.00000000	22	0	832.50000000	7.53479787	noise	11027	0
54	29457416.00000000	23	0	1035.00000000	5.94884830	noise	8706	0
55	77480976.00000000	23	0	1035.00000000	0.66280529	noise	970	0
56	57248328.00000000	23	0	1035.00000000	3.79438946	noise	5553	0
57	85645848.00000000	23	0	1035.00000000	1.37617511	noise	2014	0
58	209941168.00000000	23	0	1035.00000000	0.07379688	good	108	0
59	170532544.00000000	24	0	922.50000000	3.40627255	good	4985	0
60	116386864.00000000	16	0	967.50000000	0.85003070	mua	1244	0
61	35933256.00000000	24	0	922.50000000	8.72579748	noise	12770	0
62	49302308.00000000	25	0	1012.50000000	9.14192987	noise	13379	0
63	29527910.00000000	25	0	1012.50000000	6.41007879	noise	9381	0
64	145560688.00000000	25	0	1012.50000000	0.21319098	mua	312	0
65	37339116.00000000	26	0	855.00000000	12.41905788	noise	18175	0
68	37083800.00000000	27	0	765.00000000	4.78996400	noise	7010	0
69	26466142.00000000	28	0	1192.50000000	13.07639673	noise	19137	0
72	109671624.00000000	28	0	1192.50000000	0.24940611	noise	365	0
73	90424328.00000000	52	0	1170.00000000	0.37308421	noise	546	0
74	90243664.00000000	28	0	1192.50000000	1.11310290	mua	1629	0
75	275991840.00000000	29	0	990.00000000	1.69254505	good	2477	0
76	37199336.00000000	29	0	990.00000000	10.79142674	noise	15793	0
77	40681732.00000000	30	0	877.50000000	9.27380762	noise	13572	0
78	67859264.00000000	30	0	877.50000000	11.02375025	noise	16133	0
79	166611152.00000000	30	0	877.50000000	0.53434406	mua	782	0
80	43608160.00000000	31	0	787.50000000	9.10503143	noise	13325	0
81	60773348.00000000	32	0	382.50000000	7.77942085	noise	11385	0
82	27212548.00000000	32	0	382.50000000	1.27162953	noise	1861	0
83	25372940.00000000	33	0	67.50000000	6.47157619	noise	9471	0
84	45267312.00000000	34	0	315.00000000	2.66488725	noise	3900	0
85	226757728.00000000	34	0	315.00000000	0.32251969	good	472	0
86	154254592.00000000	35	0	652.50000000	2.36355000	good	3459	0
87	35986104.00000000	35	0	652.50000000	9.25399179	noise	13543	0
88	72371352.00000000	35	0	652.50000000	1.76360871	noise	2581	0
89	152754624.00000000	36	0	562.50000000	0.85686375	good	1254	0
90	36205176.00000000	36	0	562.50000000	5.08583482	noise	7443	0
91	104715024.00000000	36	0	562.50000000	2.68880290	noise	3935	0
92	25738564.00000000	37	0	22.50000000	7.89148278	noise	11549	0
93	69835824.00000000	38	0	157.50000000	6.20098763	noise	9075	0
94	35854736.00000000	39	0	697.50000000	9.03738429	noise	13226	0
95	123928112.00000000	39	0	697.50000000	0.96619245	mua	1414	0
96	178882528.00000000	39	0	697.50000000	0.43184840	good	632	0
98	52809540.00000000	40	0	517.50000000	5.79100498	noise	8475	0
99	152621536.00000000	40	0	517.50000000	1.79504072	mua	2627	0
100	51581424.00000000	41	0	337.50000000	7.63729353	noise	11177	0
101	79476560.00000000	42	0	202.50000000	4.43464570	noise	6490	0
102	34077240.00000000	42	0	202.50000000	3.45752038	noise	5060	0
103	61267672.00000000	43	0	427.50000000	9.34008815	noise	13669	0
104	35170164.00000000	44	0	112.50000000	5.83883629	noise	8545	0
105	42945592.00000000	45	0	292.50000000	10.50238897	noise	15370	0
106	34616424.00000000	46	0	607.50000000	4.78996400	noise	7010	0
107	149881184.00000000	46	0	607.50000000	2.19750702	mua	3216	0
108	80159712.00000000	46	0	607.50000000	0.83978114	noise	1229	0
109	66502668.00000000	47	0	472.50000000	9.33325511	noise	13659	0
110	26994194.00000000	48	0	1372.50000000	16.46353676	noise	24094	0
111	28467892.00000000	49	0	1305.00000000	15.07574547	noise	22063	0
112	27436644.00000000	50	0	1125.00000000	10.29808095	noise	15071	0
113	86913936.00000000	50	0	1125.00000000	1.17186708	noise	1715	0
114	29753660.00000000	51	0	1215.00000000	10.59190185	noise	15501	0
115	192841360.00000000	51	0	1215.00000000	0.16740958	good	245	0
116	210534720.00000000	51	0	1215.00000000	0.11889497	good	174	0
117	30511032.00000000	52	0	1170.00000000	12.32886170	noise	18043	0
118	182628640.00000000	52	0	1170.00000000	0.12572801	good	184	0
119	199280576.00000000	52	0	1170.00000000	0.17014280	mua	249	0
120	30985048.00000000	53	0	1282.50000000	14.20384903	noise	20787	0
121	26568184.00000000	54	0	1327.50000000	15.45361282	noise	22616	0
122	49771340.00000000	55	0	1237.50000000	1.50258643	noise	2199	0
124	25604978.00000000	56	0	1147.50000000	13.67838793	noise	20018	0
125	67255584.00000000	56	0	1147.50000000	1.55315095	noise	2273	0
126	128032800.00000000	56	0	1147.50000000	0.84319766	noise	1234	0
127	24904942.00000000	57	0	1417.50000000	18.73074083	noise	27412	0
128	28392368.00000000	58	0	1350.00000000	15.25545454	noise	22326	0
129	28281738.00000000	59	0	1080.00000000	8.94445489	noise	13090	0
130	86502832.00000000	59	0	1080.00000000	1.79162420	noise	2622	0
131	214630544.00000000	59	0	1080.00000000	0.15920993	good	233	0
132	36108764.00000000	60	0	900.00000000	15.20079018	noise	22246	0
133	26013292.00000000	61	0	1395.00000000	15.26570410	noise	22341	0
134	30485664.00000000	62	0	1260.00000000	12.89122124	noise	18866	0
135	190435296.00000000	62	0	1260.00000000	0.09497931	mua	139	0
136	26527112.00000000	63	0	1102.50000000	8.16548785	noise	11950	0
137	214500368.00000000	63	0	1102.50000000	0.18244228	good	267	0
138	139251536.00000000	63	0	1102.50000000	0.21319098	mua	312	0
139	160945648.00000000	63	0	1102.50000000	0.12572801	mua	184	0
142	115037088.00000000	9	0	585.00000000	1.38095824	noise	2021	0
143	115037088.00000000	9	0	585.00000000	6.15725615	noise	9011	0
144	171395136.00000000	27	0	765.00000000	2.59792341	mua	3802	0
148	146810224.00000000	28	0	1192.50000000	0.30133725	mua	441	0
150	146810224.00000000	28	0	1192.50000000	0.31227012	mua	457	0
151	146810224.00000000	28	0	1192.50000000	0.18654211	mua	273	0
152	146810224.00000000	28	0	1192.50000000	0.12299480	mua	180	0
155	136338336.00000000	28	0	1192.50000000	1.00719072	mua	1474	0
164	280506400.00000000	55	0	1237.50000000	0.75163486	mua	1100	0
165	280506400.00000000	55	0	1237.50000000	0.09907914	mua	145	0
173	181988240.00000000	40	0	517.50000000	1.11720273	mua	1635	0
174	181988240.00000000	40	0	517.50000000	0.02391565	noise	35	0
